series,date,state,sector,value
abs,01/01/2015,W.P. Labuan,Construction,148.418
abs,01/01/2015,W.P. Labuan,Services,4490.305
abs,01/01/2015,W.P. Labuan,Import Duties,73.928
abs,01/01/2016,Johor,Overall GDP,116682.227
abs,01/01/2016,Johor,Agriculture,15029.966
abs,01/01/2016,Johor,Mining & Quarrying,569.326
abs,01/01/2016,Johor,Manufacturing,34121.545
abs,01/01/2016,Johor,Construction,8978.486
abs,01/01/2016,Johor,Services,56266.132
abs,01/01/2016,Johor,Import Duties,1716.772
abs,01/01/2016,Kedah,Overall GDP,41155.715
abs,01/01/2016,Kedah,Agriculture,5202.482
abs,01/01/2016,Kedah,Mining & Quarrying,95.702
abs,01/01/2016,Kedah,Manufacturing,11933.93
abs,01/01/2016,Kedah,Construction,997.847
abs,01/01/2016,Kedah,Services,22603.916
abs,01/01/2016,Kedah,Import Duties,321.838
abs,01/01/2016,Kelantan,Overall GDP,22475.73
abs,01/01/2016,Kelantan,Agriculture,5287.474
abs,01/01/2016,Kelantan,Mining & Quarrying,257.197
abs,01/01/2016,Kelantan,Manufacturing,1171.974
abs,01/01/2016,Kelantan,Construction,575.397
abs,01/01/2016,Kelantan,Services,15158.95
abs,01/01/2016,Kelantan,Import Duties,24.739
abs,01/01/2016,Melaka,Overall GDP,37712.736
abs,01/01/2016,Melaka,Agriculture,4312.324
abs,01/01/2016,Melaka,Mining & Quarrying,52.608
abs,01/01/2016,Melaka,Manufacturing,14626.228
abs,01/01/2016,Melaka,Construction,997.69
abs,01/01/2016,Melaka,Services,17655.431
abs,01/01/2016,Melaka,Import Duties,68.455
abs,01/01/2016,Negeri Sembilan,Overall GDP,41771.246
abs,01/01/2016,Negeri Sembilan,Agriculture,3056.453
abs,01/01/2016,Negeri Sembilan,Mining & Quarrying,197.694
abs,01/01/2016,Negeri Sembilan,Manufacturing,16132.922
abs,01/01/2016,Negeri Sembilan,Construction,1466.149
abs,01/01/2016,Negeri Sembilan,Services,19975.95
abs,01/01/2016,Negeri Sembilan,Import Duties,942.078
abs,01/01/2016,Pahang,Overall GDP,50875.222
abs,01/01/2016,Pahang,Agriculture,11193.044
abs,01/01/2016,Pahang,Mining & Quarrying,878.802
abs,01/01/2016,Pahang,Manufacturing,10820.351
abs,01/01/2016,Pahang,Construction,2726.442
abs,01/01/2016,Pahang,Services,25173.04
abs,01/01/2016,Pahang,Import Duties,83.543
abs,01/01/2016,Perak,Overall GDP,65958.409
abs,01/01/2016,Perak,Agriculture,10151.488
abs,01/01/2016,Perak,Mining & Quarrying,413.624
abs,01/01/2016,Perak,Manufacturing,11752.31
abs,01/01/2016,Perak,Construction,2785.886
abs,01/01/2016,Perak,Services,40762.08
abs,01/01/2016,Perak,Import Duties,93.021
abs,01/01/2016,Perlis,Overall GDP,5569.584
abs,01/01/2016,Perlis,Agriculture,1200.073
abs,01/01/2016,Perlis,Mining & Quarrying,28.359
abs,01/01/2016,Perlis,Manufacturing,448.56
abs,01/01/2016,Perlis,Construction,212.035
abs,01/01/2016,Perlis,Services,3578.896
abs,01/01/2016,Perlis,Import Duties,101.661
abs,01/01/2016,Pulau Pinang,Overall GDP,82493.279
abs,01/01/2016,Pulau Pinang,Agriculture,1987.813
abs,01/01/2016,Pulau Pinang,Mining & Quarrying,135.366
abs,01/01/2016,Pulau Pinang,Manufacturing,35410.767
abs,01/01/2016,Pulau Pinang,Construction,2984.449
abs,01/01/2016,Pulau Pinang,Services,41166.781
abs,01/01/2016,Pulau Pinang,Import Duties,808.102
abs,01/01/2016,Sabah,Overall GDP,77518.046
abs,01/01/2016,Sabah,Agriculture,13255.092
abs,01/01/2016,Sabah,Mining & Quarrying,21992.315
abs,01/01/2016,Sabah,Manufacturing,6036.734
abs,01/01/2016,Sabah,Construction,2357.442
abs,01/01/2016,Sabah,Services,33574.808
abs,01/01/2016,Sabah,Import Duties,301.656
abs,01/01/2016,Sarawak,Overall GDP,124512.946
abs,01/01/2016,Sarawak,Agriculture,16631.881
abs,01/01/2016,Sarawak,Mining & Quarrying,29252.866
abs,01/01/2016,Sarawak,Manufacturing,33566.582
abs,01/01/2016,Sarawak,Construction,3633.388
abs,01/01/2016,Sarawak,Services,40981.962
abs,01/01/2016,Sarawak,Import Duties,446.268
abs,01/01/2016,Selangor,Overall GDP,281838.865
abs,01/01/2016,Selangor,Agriculture,3872.074
